Date and Time     	Excel-Time    	1-Laser-	2-Laser-	3-Sum   	4-TC1  	5-Tair 	6-rH%  
11.04.16 22:28:42	  42471,936597	-1303,1997	-1372,2666	-2675,4662	19,5091	19,4970	19,4700	47,0795
11.04.16 22:33:58	  42471,940255	-1305,1741	-1370,9751	-2676,1492	19,4430	19,5047	19,4500	47,1336
11.04.16 22:39:14	  42471,943912	-1304,3669	-1372,1858	-2676,5528	19,4394	19,4325	19,4300	46,7833
11.04.16 22:44:30	  42471,947569	-1303,9572	-1370,6461	-2674,6032	19,3796	19,4900	19,4100	46,7028
11.04.16 22:49:46	  42471,951227	-1304,4228	-1372,3224	-2676,7453	19,3790	19,4274	19,3800	46,7168
11.04.16 22:55:03	  42471,954896	-1303,0072	-1370,9627	-2673,9699	19,3785	19,4405	19,3700	46,7035
11.04.16 23:00:19	  42471,958553	-1303,7585	-1370,9130	-2674,6715	19,3812	19,3738	19,3500	46,4884
11.04.16 23:05:35	  42471,962211	-1304,4911	-1371,2359	-2675,7270	19,3770	19,4377	19,3300	46,3003
11.04.16 23:10:51	  42471,965868	-1303,9013	-1370,9751	-2674,8764	19,3117	19,3639	19,3100	46,2739
11.04.16 23:16:08	  42471,969537	-1304,0875	-1370,9689	-2675,0565	19,3170	19,3673	19,2900	46,1399
11.04.16 23:21:24	  42471,973194	-1305,0810	-1371,2545	-2676,3355	19,3153	19,3096	19,2700	46,0597
11.04.16 23:26:40	  42471,976852	-1303,3363	-1370,9565	-2674,2928	19,3146	19,3070	19,2600	46,0466
11.04.16 23:31:56	  42471,980509	-1304,9630	-1371,0000	-2675,9629	19,3098	19,3181	19,2300	45,8458
11.04.16 23:37:13	  42471,984178	-1304,4973	-1371,0000	-2675,4973	19,2525	19,3194	19,2100	45,6851
11.04.16 23:42:29	  42471,987836	-1304,1186	-1370,9751	-2675,0937	19,2541	19,3105	19,1900	45,6321
11.04.16 23:47:45	  42471,991493	-1304,2490	-1370,9627	-2675,2117	19,2464	19,2459	19,1800	45,5653
11.04.16 23:53:01	  42471,995150	-1305,3852	-1370,8572	-2676,2423	19,2515	19,2552	19,1600	45,4855
11.04.16 23:58:18	  42471,998819	-1305,4659	-1370,9751	-2676,4410	19,1821	19,2563	19,1400	45,4863
12.04.16 00:03:34	  42472,002477	-1303,6591	-1370,9751	-2674,6343	19,1874	19,1781	19,1300	45,3390
12.04.16 00:08:50	  42472,006134	-1302,8209	-1370,9938	-2673,8147	19,1875	19,1841	19,1100	45,2056
12.04.16 00:14:06	  42472,009792	-1304,1745	-1371,0248	-2675,1993	19,1270	19,1900	19,1000	45,0583
12.04.16 00:19:22	  42472,013449	-1303,6778	-1370,9751	-2674,6529	19,1246	19,1804	19,0700	45,0732
12.04.16 00:24:39	  42472,017118	-1303,6219	-1370,9689	-2674,5908	19,1203	19,1300	19,0500	44,9132
12.04.16 00:29:55	  42472,020776	-1303,2680	-1370,9875	-2674,2555	19,1228	19,1276	19,0300	44,9411
12.04.16 00:35:11	  42472,024433	-1303,3797	-1371,0000	-2674,3797	19,1201	19,1309	19,0100	44,7007
12.04.16 00:40:27	  42472,028090	-1304,1807	-1371,0434	-2675,2241	19,0612	19,1338	19,0000	44,6343
12.04.16 00:45:44	  42472,031759	-1304,9319	-1372,2107	-2677,1426	19,0633	19,0561	18,9800	44,5550
12.04.16 00:51:00	  42472,035417	-1303,5846	-1371,9064	-2675,4911	19,0563	19,0617	18,9600	44,5829
12.04.16 00:56:16	  42472,039074	-1303,6405	-1372,3597	-2676,0002	19,0708	19,0644	18,9400	44,3698
12.04.16 01:01:32	  42472,042731	-1304,6836	-1372,3473	-2677,0309	19,0023	19,0682	18,9300	44,2766
12.04.16 01:06:48	  42472,046389	-1303,4853	-1372,3721	-2675,8574	18,9959	19,0057	18,9000	44,0777
12.04.16 01:12:05	  42472,050058	-1304,7581	-1372,3721	-2677,1302	18,9404	19,0014	18,8900	44,1185
12.04.16 01:17:21	  42472,053715	-1304,4787	-1372,3845	-2676,8632	18,9393	19,0050	18,8700	44,0663
12.04.16 01:22:37	  42472,057373	-1302,9762	-1372,9247	-2675,9009	18,9314	19,0061	18,8500	43,8000
12.04.16 01:27:53	  42472,061030	-1303,1500	-1373,1855	-2676,3355	18,9373	18,9235	18,8300	44,0422
12.04.16 01:33:10	  42472,064699	-1303,7212	-1373,6325	-2677,3537	18,9407	18,9327	18,8100	43,8029
12.04.16 01:38:26	  42472,068357	-1304,3111	-1374,6011	-2678,9121	18,8733	18,9253	18,7900	43,5905
12.04.16 01:43:42	  42472,072014	-1304,6898	-1373,7194	-2678,4092	18,8757	18,9362	18,7800	43,6046
12.04.16 01:48:58	  42472,075671	-1305,3852	-1374,9736	-2680,3588	18,8756	18,8732	18,7600	43,5794
12.04.16 01:54:15	  42472,079340	-1304,7519	-1373,6263	-2678,3782	18,8694	18,8685	18,7500	43,4332
12.04.16 01:59:31	  42472,082998	-1303,0569	-1375,0233	-2678,0802	18,8704	18,8724	18,7300	43,4080
12.04.16 02:04:47	  42472,086655	-1304,0255	-1376,3209	-2680,3464	18,8060	18,8727	18,7100	43,1692
12.04.16 02:10:03	  42472,090313	-1304,4601	-1375,9608	-2680,4209	18,8085	18,8874	18,6900	43,1175
12.04.16 02:15:19	  42472,093970	-1303,7647	-1376,2712	-2680,0359	18,8147	18,8163	18,6800	43,1050
12.04.16 02:20:36	  42472,097639	-1304,9692	-1377,0101	-2681,9793	18,8150	18,8065	18,6600	43,0800
12.04.16 02:25:52	  42472,101296	-1305,4535	-1376,3023	-2681,7558	18,7497	18,8093	18,6400	42,9483
12.04.16 02:31:08	  42472,104954	-1305,7142	-1377,6682	-2683,3825	18,7438	18,7396	18,6200	42,8701
12.04.16 02:36:24	  42472,108611	-1305,3666	-1378,7548	-2684,1213	18,7457	18,7495	18,6100	42,8576
12.04.16 02:41:41	  42472,112280	-1305,0064	-1377,6186	-2682,6250	18,7486	18,7690	18,6000	42,7918
12.04.16 02:46:57	  42472,115938	-1306,7263	-1378,0283	-2684,7546	18,6835	18,6894	18,5800	42,7403
12.04.16 02:52:13	  42472,119595	-1306,7697	-1378,8603	-2685,6301	18,6772	18,6920	18,5700	42,7545
12.04.16 02:57:29	  42472,123252	-1307,0181	-1380,3008	-2687,3189	18,6875	18,6899	18,5500	42,5965
12.04.16 03:02:46	  42472,126921	-1306,4407	-1381,6978	-2688,1384	18,6799	18,7040	18,5300	42,3054
12.04.16 03:08:02	  42472,130579	-1307,2354	-1381,5674	-2688,8028	18,6837	18,6961	18,5100	42,3340
12.04.16 03:13:18	  42472,134236	-1308,1233	-1381,6232	-2689,7465	18,6236	18,6878	18,4900	42,3093
12.04.16 03:18:34	  42472,137893	-1308,1357	-1382,9519	-2691,0876	18,6181	18,6368	18,4700	42,1250
12.04.16 03:23:50	  42472,141551	-1308,1854	-1382,9519	-2691,1373	18,6203	18,5728	18,4600	42,1394
12.04.16 03:29:07	  42472,145220	-1309,2346	-1384,2806	-2693,5153	18,5568	18,6436	18,4500	42,1005
12.04.16 03:34:23	  42472,148877	-1309,4768	-1385,5721	-2695,0488	18,5591	18,5859	18,4300	42,1025
12.04.16 03:39:39	  42472,152535	-1309,3526	-1386,8138	-2696,1664	18,5598	18,5856	18,4200	41,9573
12.04.16 03:44:55	  42472,156192	-1310,7806	-1387,7451	-2698,5258	18,5578	18,6047	18,4000	41,8796
